,子どもの姿(英),Healthy Mind and Body,Healthy Mind and Body,Healthy Mind and Body,Healthy Mind and Body,,,Sense of Independence,Sense of Independence,Sense of Independence,Sense of Independence,Sense of Independence,Sense of Independence,,Cooperativeness,Cooperativeness,Cooperativeness,Cooperativeness,Cooperativeness,,Emerging Morality and Norm Awareness,Emerging Morality and Norm Awareness,Emerging Morality and Norm Awareness,Emerging Morality and Norm Awareness,Emerging Morality and Norm Awareness,Emerging Morality and Norm Awareness,,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,,,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,Engagement with Social Life,,Emerging Thinking Skills,Emerging Thinking Skills,Emerging Thinking Skills,Emerging Thinking Skills,Emerging Thinking Skills,Emerging Thinking Skills,,Connection with Nature and Respect for Life,Connection with Nature and Respect for Life,Connection with Nature and Respect for Life,Connection with Nature and Respect for Life,Connection with Nature and Respect for Life,Connection with Nature and Respect for Life,,"Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters",,,"Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters","Interest and Sensitivity toward Numbers, Shapes, Signs, and Letters",,Communication through Language,Communication through Language,Communication through Language,Communication through Language,Communication through Language,Communication through Language,,,Rich Sensibility and Expression,Rich Sensibility and Expression,Rich Sensibility and Expression,Rich Sensibility and Expression,Rich Sensibility and Expression,Rich Sensibility and Expression,,
ability/Practice,ability,主体的・充実感ある遊び,のびのびと心身を動かす遊び,見通しをもった計画的な遊び,健康と安全を育む遊び習慣,健康な心と体,健康,主体的な環境への参加,しなければならないことの自覚,自力で考え工夫する力,諦めずにやり遂げる力,達成感の獲得,自信をもった行動,自立心,友達と思いや考えを共有,友達との共通目的の形成,協働的な思考と工夫,協力して行動する力,友達と充実感持った達成,協同性,善悪の判断,行動の振り返り,共感と他者視点,規範の必要性の理解,感情調整と折り合い,ルールの創出と遵守,道徳性・規範意識の芽生え,家族を大切にする気持ち,地域の人々との触れ合い,人との多様な関わり方への気付き,相手の気持ちを考えた関わり,役立つ喜びと地域への親しみ,社会生活との関わり,人間関係,さまざまな環境への主体的関わり,必要な情報の収集と活用,情報に基づく判断と伝達,公共施設を大切に利用する姿勢,社会とのつながりの意識,社会生活との関わり,身近な事象への主体的な関わり,物の性質や仕組みの発見,思考・予測・工夫する力,多様な関わりを楽しむ,友達の多様な考えへの気付き,自己判断や再考と新しい発想の喜び,思考力の芽生え,自然に触れて感動する体験,自然の変化を感じ取る感性,好奇心や探究心にもとづく表現,自然への愛情と畏敬,生命の不思議さと尊さの認識,動植物を思いやり大切に扱う態度,自然との関わり・生命尊重,数量や図形に親しむ体験の積み重ね,数量や図形を遊びや生活で活用する力,標識の役割への気付き,標識を手掛かりに行動する力,数量や図形、標識への興味・感覚の形成,,環境,文字や記号に親しむ体験の積み重ね,文字や記号の役割理解,文字や記号を用いた表現・伝達,文字や記号を必要に応じて活用する力,文字や記号への興味・感覚の形成,数量や図形、標識や文字などへの関心・感覚,保育士と友達との心の交流,絵本や物語への親しみ,豊かな語彙と表現の習得,経験や考えの言語表現,相手の話を注意深く聴く力,言葉による伝え合いの楽しみ,言葉による伝え合い,言葉,感動を体験して感性を働かせる,素材や表現方法への気付き,自己で表現することの実践,協同表現の楽しみ,表現の喜びと達成感,表現への意欲・モチベーション,豊かな感性と表現,表現
Practice,code,1101001,1101002,1101003,1101004,1101,11,2101001,2101002,2101003,2101004,2101005,2101006,2101,2102001,2102002,2102003,2102004,2102005,2102,2103001,2103002,2103003,2103004,2103005,2103006,2103,2104001,2104002,2104003,2104004,2104005,2104,21,3101001,3101002,3101003,3101004,3101005,3101,3102001,3102002,3102003,3102004,3102005,3102006,3102,3103001,3103002,3103003,3103004,3103005,3103006,3103,3104001,3104002,3104003,3104004,3104005,3104,31,4101001,4101002,4101003,4101004,4101005,4101,4102001,4102002,4102003,4102004,4102005,4102006,4102,41,5101001,5101002,5101003,5101004,5101005,5101006,5101,51
みんなでかけっこ、遊びで走る楽しさと応援,PR-OUT-0001,3,3,,2,,,2,,,2,3,3,,3,3,,2,3,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
砂場でレストランごっこ、友達と役割遊び,PR-OUT-0002,2,2,1,1,,,2,,2,,2,2,,3,3,3,3,3,,1,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,3,,3,3,3,3,,,2,2,3,3,3,,,
園庭での水遊びコーナーと身支度習慣,PR-OUT-0003,3,3,,3,,,3,3,2,,2,2,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,,2,2,,1,,,,1,1,,,,,,,,,,,,,,,,1,2,,,2,2,2,2,2,2,,
並びっこ競争で手つなぎ・列歩きと交通安全,PR-OUT-0004,,2,,3,,,,,2,,,,,2,2,2,3,2,,1,1,2,3,2,3,,,,,2,,,,,2,2,,2,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,
鬼ごっこでルールの理解、友だち同士で話し合い,PR-OUT-0005,2,3,1,1,,,3,2,2,2,2,2,,3,3,2,3,2,,2,2,2,3,3,3,,,,2,2,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,
園庭と散歩で交通安全の体験,PR-OUT-0006,,,,3,,,,3,,,,2,,,2,2,2,2,,2,2,,3,,3,,,,,,,,,2,3,3,1,2,,2,,2,,,2,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
ミニ・ビオトープで自然観察,PR-OUT-0007,3,,,,,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
種まき・苗植えで植物の成長を毎日観察,PR-OUT-0008,2,,2,1,,,2,2,2,2,2,2,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大きな紙を共有して友だちと表現・製作遊び,PR-IN-0001,,,,,,,3,,2,,3,2,,3,3,3,3,3,,,,2,,2,1,,,,,2,,,,,,,,,,,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,2,,1,2,2,2,,,2,3,3,3,3,3,,
絵具パレット共有のフィンガーペインティング遊び,PR-IN-0002,2,1,1,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,,,,3,3,3,3,3,,
給食の汁物配膳に挑戦して当番活動,PR-IN-0003,3,,3,2,,,3,3,3,2,3,3,,3,3,3,3,3,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,3,,2,2,3,2,,,,,,,,,,
製作・手先遊びコーナーで室内じっくり遊び,PR-IN-0004,3,,3,,,,,,3,3,3,,,3,3,3,3,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,2,2,3,3,3,3,,
話し合い活動で友だちの気持ちに気づく,PR-IN-0005,,,,,,,2,2,,,,2,,3,3,3,3,3,,,,3,3,3,3,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3,3,3,,,,,,,,,,
音楽に合わせてみんなで歌って動く表現遊び,PR-IN-0006,3,3,,2,,,2,,,,2,2,,3,3,3,3,3,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,2,3,,,3,2,3,3,3,3,,
親子お話会で絵本・紙芝居の世界を楽しむ,PR-IN-0007,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,,,2,1,,1,,,,
園内安全ツアーで危険箇所を見つけて学ぶ,PR-IN-0008,,,,3,,,,3,,,,,,2,2,,2,,,3,2,2,3,2,3,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,
保護者メッセージカードで喜びを共有し手紙遊びへ,PR-IN-0009,,,,,,,,,,,,,,2,2,2,2,2,,,,3,,,,,3,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,,3,,2,3,2,3,,,2,2,3,2,3,3,,
卒園児へ「ありがとうコーナー」壁面づくり,PR-IN-0010,2,,,,,,2,1,2,2,3,2,,3,3,3,3,3,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,,,3,,2,3,2,3,,,3,3,3,3,3,3,,
